"General Election - November 7, 2006",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
County,"John Tyson, Jr. (D)",Troy King (R),,,,,,,,,
Autauga,4269,9655,,,,,,,,,
Baldwin,18177,27392,,,,,,,,,
Barbour,3063,2989,,,,,,,,,
Bibb,2142,3360,,,,,,,,,
Blount ,4963,9319,,,,,,,,,
Bullock,2138,922,,,,,,,,, 
Butler,3059,3629,,,,,,,,,
Calhoun,12553,16503,,,,,,,,,
Chambers,4534,4260,,,,,,,,,
Cherokee,3378,3390,,,,,,,,,
Chilton,4253,7621,,,,,,,,,
Choctaw,3076,1580,,,,,,,,,
Clarke,5354,3474,,,,,,,,,
Clay,1978,2741,,,,,,,,,
Cleburne,1506,2332,,,,,,,,,
Coffee,3619,9371,,,,,,,,,
Colbert,8718,6799,,,,,,,,,
Conecuh,2435,1717,,,,,,,,,
Coosa,2299,1933,,,,,,,,,
Covington,3481,7380,,,,,,,,,
Crenshaw,1666,2575,,,,,,,,,
Cullman,9875,15423,,,,,,,,,
Dale,3646,8487,,,,,,,,,
Dallas,8643,5207,,,,,,,,,
Dekalb,7274,9676,,,,,,,,,
Elmore,6253,14461,,,,,,,,,
Escambia,4579,4039,,,,,,,,,
Etowah,13100,15824,,,,,,,,,
Fayette,2840,3016,,,,,,,,,
Franklin,4032,3406,,,,,,,,,
Geneva,1857,5201,,,,,,,,,
Greene,3129,825,,,,,,,,,
Hale,3196,1950,,,,,,,,,
Henry,2174,3342,,,,,,,,,
Houston,7436,18087,,,,,,,,,
Jackson,6400,5833,,,,,,,,,
Jefferson,94949,83227,,,,,,,,,
Lamar,2327,2206,,,,,,,,,
Lauderdale,12054,12102,,,,,,,,,
Lawrence,5759,4142,,,,,,,,,
Lee,11863,14684,,,,,,,,,
Limestone,7847,11015,,,,,,,,,
Lowndes,2865,1338,,,,,,,,,
Macon,4475,1245,,,,,,,,,
Madison,34287,47621,,,,,,,,,
Marengo,4028,3009,,,,,,,,,
Marion,4168,4443,,,,,,,,,
Marshall,8911,14092,,,,,,,,,
Mobile,55387,37798,,,,,,,,,
Monroe,4440,3503,,,,,,,,,
Montgomery,31667,29576,,,,,,,,,
Morgan,13598,19123,,,,,,,,,
Perry,3019,1191,,,,,,,,,
Pickens,3236,2894,,,,,,,,,
Pike,3127,4807,,,,,,,,,
Randolph,2876,2991,,,,,,,,,
Russell,5634,3619,,,,,,,,,
Shelby,14648,33623,,,,,,,,,
St. Clair,6425,12648,,,,,,,,,
Sumter,3717,1437,,,,,,,,,
Talladega,9492,9680,,,,,,,,,
Tallapoosa,5138,7726,,,,,,,,,
Tuscaloosa,20585,22414,,,,,,,,,
Walker,9268,8900,,,,,,,,,
Washington,3810,2160,,,,,,,,,
Wilcox,3276,1061,,,,,,,,,
Winston,2859,5051,,,,,,,,,
Calculated,576830,653045,,,,,,,,,
Reported,576830,653045,,, ,,,,,,
