Unnamed: 0,Attorney General,Unnamed: 2,Unnamed: 3
County,King,Strange,
Autauga  ,3866,5086, 
Baldwin  ,12075,17492,
Barbour  ,363,264,
Bibb  ,1392,1745,
Blount  ,4145,5059,
Bullock  ,42,90,
Butler  ,766,955,
Calhoun  ,3532,5264,
Chambers  ,1152,887,
Cherokee  ,523,793,
Chilton  ,2915,4602,
Choctaw  ,84,74,
Clarke  ,825,1143,
Clay  ,414,729,
Cleburne  ,934,942,
Coffee  ,5303,2995,
Colbert  ,1176,1574,
Conecuh  ,211,299,
Coosa  ,376,550,
Covington  ,2972,2278,
Crenshaw  ,326,341,
Cullman  ,5161,7646,
Dale  ,3477,2083,
Dallas  ,194,231,
DeKalb  ,1744,2306,
Elmore  ,5150,6225,
Escambia  ,1460,2091,
Etowah  ,5331,6226,
Fayette  ,275,546,
Franklin  ,488,568,
Geneva  ,3478,1724,
Greene  ,61,124,
Hale  ,210,320,
Henry  ,1316,579,
Houston  ,9051,4404,
Jackson  ,1157,1576,
Jefferson  ,16009,43177,
Lamar  ,171,220,
Lauderdale  ,2332,3446,
Lawrence  ,806,1183,
Lee  ,4724,7283,
Limestone  ,2931,4825,
Lowndes  ,187,294,
Macon  ,183,200,
Madison  ,12232,24040,
Marengo  ,146,213,
Marion  ,643,1164,
Marshall  ,4780,6839,
Mobile  ,14069,22122,
Monroe  ,940,1435,
Montgomery  ,8387,12653,
Morgan  ,7896,12004,
Perry  ,143,230,
Pickens  ,321,448,
Pike  ,1938,1726,
Randolph  ,517,556,
Russell  ,385,240,
Shelby  ,7546,18347,
St. Clair  ,4206,7312,
Sumter  ,34,30,
Talladega  ,2658,3862,
Tallapoosa  ,2075,3113,
Tuscaloosa  ,6170,10771,
Walker  ,1985,3937,
Washington  ,170,208,
Wilcox  ,94,166,
Winston  ,2251,2998,
,188874,284853,
,0.3987,0.6013,
