County,Terry Butts (D),Bill Pryor (R)
Autauga,5334,7692
Baldwin,12657,25121
Barbour,5642,3036
Bibb,2775,2796
Blount,5253,7972
Bullock,2937,1015
Butler,3929,2869
Calhoun,15467,15204
Chambers,5439,3709
Cherokee,3572,2124
Chilton,4906,7500
Choctaw,3363,1820
Clarke,4508,3795
Clay,2231,2294
Cleburne,2095,1750
Coffee,7368,5488
Colbert,10031,7079
Conecuh,3114,1945
Coosa,2225,1647
Covington,4991,5126
Crenshaw,3318,1300
Cullman,10834,12734
Dale,5570,5894
Dallas,9676,5507
Dekalb,7717,8365
Elmore,7678,11185
Escambia,4422,3972
Etowah,17925,14582
Fayette,3543,3297
Franklin,4813,3612
Geneva,3887,3462
Greene,2929,875
Hale,3531,1846
Henry,3039,2308
Houston,10248,13562
Jackson,6821,4411
Jefferson,106923,109716
Lamar,2307,1958
Lauderdale,12700,11593
Lawrence,6091,3886
Lee,13070,14139
Limestone,9287,9787
Lowndes,3711,1174
Macon,6283,920
Madison,36658,42377
Marengo,4771,3449
Marion,4870,4135
Marshall,9657,11149
Mobile,46589,52859
Monroe,3915,3321
Montgomery,38053,30455
Morgan,15002,18728
Perry,3499,1223
Pickens,3651,2932
Pike,5615,3427
Randolph,2851,2423
Russell,6322,3202
Shelby,10427,30959
St. Clair,6713,12120
Sumter,3754,1166
Talladega,10254,9863
Tallapoosa,6930,6743
Tuscaloosa,20905,24828
Walker,11433,8866
Washington,3721,2063
Wilcox,3080,1209
Winston,2806,4839
Calculated,635636,642403
Reported,635636,642403
