County,Jimmy Evans,Don Siegelman,Reggie Sorrells,Gerald Wallis
Autauga,3729,2464,408,355
Baldwin,5243,7496,1249,743
Barbour,1884,2158,812,185
Bibb,1623,3404,222,470
Blount ,2317,4666,495,635
Bullock,1290,1743,174,108
Butler,3130,2840,389,248
Calhoun,6034,11563,1148,2136
Chambers,2014,5069,477,344
Cherokee,1260,2887,221,462
Chilton,2737,5088,445,494
Choctaw,1641,3224,337,143
Clarke,2326,3911,343,368
Clay,1099,2135,191,293
Cleburne,1202,2041,440,531
Coffee,3217,3841,1494,264
Colbert,4024,7055,400,589
Conecuh,1918,2608,205,218
Coosa,1354,1746,145,295
Covington,4170,4100,1031,312
Crenshaw,1920,2036,301,259
Cullman,4023,9122,809,906
Dale,2851,2852,2210,154
Dallas,4254,6278,417,542
Dekalb,3707,6416,417,923
Elmore,6064,3559,989,481
Escambia,3808,4106,338,555
Etowah,7522,16175,771,1564
Fayette,1517,4008,532,588
Franklin,2096,3903,305,315
Geneva,2023,2570,1808,169
Greene,651,2796,220,208
Hale,906,2341,131,518
Henry,726,1088,2170,61
Houston,2306,2917,11584,189
Jackson,2427,4820,340,675
Jefferson,29182,87151,10710,14173
Lamar,1282,3322,473,407
Lauderdale,4076,7520,610,667
Lawrence,2321,4707,558,360
Lee,3672,6703,727,823
Limestone,4658,5262,328,815
Lowndes,1152,1907,84,142
Macon,1803,3454,177,181
Madison,10489,20204,1157,2673
Marengo,1794,3632,469,362
Marion,2740,5669,496,694
Marshall,5195,6858,390,878
Mobile,15831,32040,1243,5550
Monroe,2466,3943,357,225
Montgomery,21786,17926,2155,2489
Morgan,7977,10832,1280,1396
Perry,968,2797,167,451
Pickens,2103,3886,438,694
Pike,3638,3683,601,270
Randolph,1266,2054,199,284
Russell,1632,2518,405,396
Shelby,3185,6677,1019,1669
St. Clair,2327,4461,456,854
Sumter,1042,3519,816,276
Talladega,3323,6405,1363,1238
Tallapoosa,4862,4879,479,584
Tuscaloosa,8697,12554,725,3505
Walker,3360,5980,680,923
Washington,1914,3922,57,473
Wilcox,1325,3256,111,369
Winston,993,2245,321,252
Calculated,256072,444992,63019,61373
Reported,256072,444992,63019,61373
