Unnamed: 0,Office,Attorney General,Unnamed: 3
,Ballot Name,James H. Anderson,Giles Perkins
,Status,runoff,runoff
,Total,70315,46814
,Percentage,0.6003210135833141,0.39967898641668587
,Autauga,181,88
,Baldwin,292,126
,Barbour,3363,1159
,Bibb,120,49
,Blount,98,40
,Bullock,1837,475
,Butler,198,66
,Calhoun,277,155
,Chambers,351,130
,Cherokee,150,68
,Chilton,116,54
,Choctaw,2550,1475
,Clarke,957,442
,Clay,1235,487
,Cleburne,52,31
,Coffee,160,62
,Colbert,371,92
,Conecuh,2527,620
,Coosa,594,213
,Covington,204,46
,Crenshaw,966,237
,Cullman,320,83
,Dale,161,71
,Dallas,2480,1802
,DeKalb,323,66
,Elmore,291,102
,Escambia,373,105
,Etowah,852,793
,Fayette,93,29
,Franklin,1940,771
,Geneva,70,21
,Greene,821,1612
,Hale,1085,829
,Henry,1107,368
,Houston,1061,530
,Jackson,917,373
,Jefferson,12349,16976
,Lamar,457,183
,Lauderdale,1828,965
,Lawrence,1452,443
,Lee,1297,375
,Limestone,816,190
,Lowndes,429,427
,Macon,2257,791
,Madison,654,445
,Marengo,2884,1612
,Marion,244,81
,Marshall,151,67
,Mobile,1890,2023
,Monroe,261,90
,Montgomery,2048,891
,Morgan,416,122
,Perry,944,703
,Pickens,1429,697
,Pike,224,83
,Randolph,1872,529
,Russell,1135,288
,Shelby,339,276
,St. Clair,175,85
,Sumter,2120,1427
,Talladega,342,171
,Tallapoosa,271,149
,Tuscaloosa,1681,1883
,Walker,460,134
,Washington,205,70
,Wilcox,1163,954
,Winston,29,14
,,, 
