County,Jimmy Evans (D),Spencer Bachus (R),Unnamed: 3,Unnamed: 4
Autauga,7702,3173,,
Baldwin,13446,13004,,
Barbour,5750,1326,,
Bibb,4073,1567,,
Blount ,6074,5475,,
Bullock,3571,470,,
Butler,5660,1354,,
Calhoun,16957,8682,,
Chambers,6001,2092,,
Cherokee,3681,1154,,
Chilton,7711,4263,,
Choctaw,4481,904,,
Clarke,6180,2108,,
Clay,2639,1078,,
Cleburne,2099,974,,
Coffee,7382,3027,,
Colbert,10212,3734,,
Conecuh,4077,825,,
Coosa,2774,1026,,
Covington,7805,2432,,
Crenshaw,3465,791,,
Cullman,11598,9140,,
Dale,6763,2966,,
Dallas,11984,2659,,
Dekalb,9939,5930,,
Elmore,10292,4814,,
Escambia,5119,2198,,
Etowah,20834,9302,,
Fayette,4830,2056,,
Franklin,5403,2713,,
Geneva,5273,1565,,
Greene,3337,467,,
Hale,3858,1164,,
Henry,3550,770,,
Houston,14756,6384,,
Jackson,6508,2548,,
Jefferson,110364,96103,,
Lamar,3220,1290,,
Lauderdale,13498,6064,,
Lawrence,5519,1542,,
Lee,11338,6630,,
Limestone,8900,4433,,
Lowndes,3496,527,, 
Macon,6010,587,,
Madison,38081,31411,,
Marengo,5658,1713,,
Marion,6905,2986,,
Marshall,9713,6457,,
Mobile,57007,30749,,
Monroe,4779,1732,,
Montgomery,51669,16118,,
Morgan,16344,11668, ,
Perry,3789,912, , 
Pickens,4103,1642,,
Pike,6643,2031,,
Randolph,3575,1363,,
Russell,5848,1575,,
Shelby,11031,18186,,
St. Clair,7518,6232,, 
Sumter,4317,938,,
Talladega,11000,6195, ,
Tallapoosa,9322,3124,,
Tuscaloosa,24185,13443,,
Walker,13988,5763,,
Washington,4712,990,,
Wilcox,4054,742,,
Winston,4612,4107,,
Calculated,726982,401388,,
Reported,726982,401388,,
