County,Roger Bedford,Jimmy Evans
Autauga,1900,4375
Baldwin,2759,3054
Barbour,1064,2791
Bibb,2110,1509
Blount,2899,2108
Bullock,749,1328
Butler,1149,3189
Calhoun,7102,5756
Chambers,1705,2224
Cherokee,1968,1395
Chilton,2763,2850
Choctaw,1118,1444
Clarke,1733,2775
Clay,1696,1531
Cleburne,2052,1573
Coffee,1590,2855
Colbert,5338,2425
Conecuh,1039,3032
Coosa,808,1523
Covington,2646,6354
Crenshaw,938,2527
Cullman,7386,5519
Dale,1767,2957
Dallas,4059,6322
Dekalb,3854,2385
Elmore,2046,4236
Escambia,1667,2497
Etowah,10509,6431
Fayette,3134,2100
Franklin,3843,929
Geneva,1028,1717
Greene,2656,1032
Hale,2342,2267
Henry,1392,2573
Houston,2472,4449
Jackson,3213,1763
Jefferson,32041,34474
Lamar,3182,1491
Lauderdale,7588,3049
Lawrence,5164,2792
Lee,3193,4192
Limestone,5011,3902
Lowndes,657,1098
Macon,2161,2765
Madison,12256,9592
Marengo,1830,4480
Marion,6349,2745
Marshall,5461,5064
Mobile,21960,18276
Monroe,1386,2918
Montgomery,9261,23507
Morgan,7234,5470
Perry,1811,1469
Pickens,2435,1326
Pike,2176,4534
Randolph,1528,2224
Russell,1088,1621
Shelby,1830,1715
St. Clair,3230,2832
Sumter,2211,2609
Talladega,4041,5231
Tallapoosa,3240,5914
Tuscaloosa,8867,6836
Walker,10146,5861
Washington,2645,2680
Wilcox,1818,1639
Winston,1537,519
Calculated,269831,276620
Reported,269831,276620
