"Republican Primary - June 6, 2006",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
County,Troy King,Mark Monteil,,,
Autauga,5211,1436,,,
Baldwin,19285,4206,,,
Barbour,423,99,,,
Bibb,1368,382,,,
Blount ,6054,2390,,,
Bullock,89,38,,,
Butler,620,152,,,
Calhoun,7438,1741,,,
Chambers,818,424,,,
Cherokee,558,205,,,
Chilton,4053,1043,,,
Choctaw,20,7,,,
Clarke,1428,297,,,
Clay,902,274,,,
Cleburne,471,161,,,
Coffee,3356,626,,,
Colbert,1776,640,,,
Conecuh,162,37,,,
Coosa,368,105,,,
Covington,3290,566,,,
Crenshaw,260,61,,,
Cullman,6351,2729,,,
Dale,4841,1118,,,
Dallas,313,84,,,
Dekalb,2852,1066,,,
Elmore,8155,2376,,,
Escambia,1183,240,,,
Etowah,6858,1877,,,
Fayette,498,242,,,
Franklin,450,234,,,
Geneva,3916,727,,,
Greene,47,15,,,
Hale,76,18,,,
Henry,647,155,,,
Houston,6790,1379,,,
Jackson,773,318,,,
Jefferson,43362,21739,,,
Lamar,326,156,,,
Lauderdale,3121,1170,,,
Lawrence,682,375,,,
Lee,5048,3126,,,
Limestone,3745,1335,,,
Lowndes,118,36,,,
Macon,210,66,,,
Madison,17756,5612,,,
Marengo,396,95,,,
Marion,752,424,,,
Marshall,5794,2192,,,
Mobile,31905,8056,,,
Monroe,726,137,,,
Montgomery,16118,5215,,,
Morgan,9205,4100,,,
Perry,77,20,,,
Pickens,260,79,,,
Pike,2197,347,,,
Randolph,700,350,,,
Russell,563,253,,,
Shelby,18082,7501,,,
St. Clair,7238,2803,,,
Sumter,31,22,,,
Talladega,4202,1285,,,
Tallapoosa,2944,779,,,
Tuscaloosa,10695,3201,,,
Walker,2387,1201,,,
Washington,95,37,,,
Wilcox,176,45,,,
Winston,4055,425,,,
Calculated,294666,99650,,,
Reported,294696,99650,,, 
