County,Don Siegelman (D)
Autauga,6065
Baldwin,12332
Barbour,4137
Bibb,3496
Blount,6436
Bullock,3217
Butler,4176
Calhoun,18702
Chambers,5399
Cherokee,4473
Chilton,8006
Choctaw,3147
Clarke,4524
Clay,2554
Cleburne,1652
Coffee,6019
Colbert,11840
Conecuh,3029
Coosa,2957
Covington,5208
Crenshaw,2667
Cullman,13688
Dale,5067
Dallas,12083
Dekalb,10088
Elmore,8707
Escambia,4206
Etowah,22191
Fayette,4465
Franklin,4874
Geneva,3362
Greene,3655
Hale,3694
Henry,2145
Houston,16611
Jackson,6241
Jefferson,164336
Lamar,2605
Lauderdale,15238
Lawrence,5675
Lee,10726
Limestone,7907
Lowndes,3656
Macon,6300
Madison,41414
Marengo,5378
Marion,6592
Marshall,8517
Mobile,58452
Monroe,4115
Montgomery,44660
Morgan,22185
Perry,3685
Pickens,5196
Pike,4536
Randolph,3529
Russell,4732
Shelby,15794
St. Clair,7985
Sumter,4819
Talladega,11525
Tallapoosa,6072
Tuscaloosa,26939
Walker,12540
Washington,4606
Wilcox,4148
Winston,4973
Calculated,769948
Reported,769948
