Unnamed: 0,Attorney General,Unnamed: 2,Unnamed: 3
,Anderson (D),Strange (R),Write-In
Total,606270,868520,1285
Margin,0.17766712396050335,,
Autauga,5626,12295,19
Baldwin,12784,44638,63
Barbour,4682,3508,13
Bibb,2145,4237,5
Blount,3607,13065,17
Bullock,2942,928,
Butler,3531,3491,5
Calhoun,12355,21019,33
Chambers,5069,4997,4
Cherokee,2566,4471,10
Chilton,3718,9745,8
Choctaw,3548,2694,4
Clarke,5056,5380,7
Clay,1838,3292,9
Cleburne,1361,3560,4
Coffee,5109,9873,24
Colbert,7537,9022,11
Conecuh,2930,2232,4
Coosa,2206,2149,3
Covington,3785,8153,11
Crenshaw,2407,2964,6
Cullman,8025,21420,45
Dale,4953,8762,20
Dallas,10908,4691,11
DeKalb,6482,13151,
Elmore,8290,17868,29
Escambia,4016,6427,11
Etowah,12397,19151,35
Fayette,2232,3669,5
Franklin,3621,4800,8
Geneva,3202,6204,21
Greene,3614,675,3
Hale,4187,2204,4
Henry,3071,3578,8
Houston,13203,18949,39
Jackson,5537,9303,15
Jefferson,108097,103595,130
Lamar,1627,3145,5
Lauderdale,10836,16524,29
Lawrence,5043,6291,6
Lee,13353,20005,37
Limestone,7714,17895,19
Lowndes,3896,1329,4
Macon,6432,1051,4
Madison,39905,67357,82
Marengo,5030,3725,4
Marion,2936,5702,12
Marshall,6436,18761,33
Mobile,47228,63091,57
Monroe,3412,4091,7
Montgomery,45021,28604,59
Morgan,11255,27530,25
Perry,3274,1151,4
Pickens,3546,3752,6
Pike,4498,5125,4
Randolph,2588,4247,6
Russell,6409,4890,18
St Clair,5512,19049,32
Shelby,14281,48775,81
Sumter,4228,1281,1
Talladega,10594,13260,16
Tallapoosa,6327,9259,2
Tuscaloosa,21915,31830,42
Walker,8226,14050,29
Washington,2497,3475,5
Wilcox,3641,1203,3
Winston,1973,5912,9
