Unnamed: 0,Office,Attorney General,Unnamed: 3,Unnamed: 4
,Ballot Name,James H. Anderson,Michel Nicrosi,Giles Perkins
,Status,runoff,,runoff
,Total,136807,53171,85847
,Percentage,0.49599202392821534,0.1927707785733708,0.31123719749841383
,Autauga,690,304,457
,Baldwin,1152,630,602
,Barbour,2672,747,1051
,Bibb,392,106,199
,Blount,420,229,289
,Bullock,1672,597,562
,Butler,1635,620,513
,Calhoun,1283,930,857
,Chambers,1322,353,279
,Cherokee,967,501,613
,Chilton,452,138,315
,Choctaw,2094,539,852
,Clarke,2417,395,912
,Clay,998,339,521
,Cleburne,215,61,162
,Coffee,876,138,190
,Colbert,3941,916,1430
,Conecuh,1940,301,587
,Coosa,733,168,352
,Covington,631,174,223
,Crenshaw,1716,431,534
,Cullman,1720,626,875
,Dale,660,161,249
,Dallas,4557,2039,2843
,DeKalb,1845,555,838
,Elmore,1113,544,653
,Escambia,989,151,274
,Etowah,1783,1302,1084
,Fayette,1889,479,1160
,Franklin,2689,736,1192
,Geneva,346,72,106
,Greene,1270,1041,853
,Hale,1128,427,1443
,Henry,1265,229,368
,Houston,1575,707,755
,Jackson,1719,564,949
,Jefferson,14027,7918,20485
,Lamar,1307,203,594
,Lauderdale,3751,1362,2480
,Lawrence,3269,704,1102
,Lee,2427,692,689
,Limestone,1969,484,781
,Lowndes,1364,616,979
,Macon,2138,634,988
,Madison,5126,2931,3274
,Marengo,3104,702,1349
,Marion,1504,467,992
,Marshall,878,336,555
,Mobile,6934,3060,5188
,Monroe,1209,454,464
,Montgomery,8245,3259,5074
,Morgan,1918,516,598
,Perry,1076,475,1149
,Pickens,2174,558,1110
,Pike,743,183,263
,Randolph,1627,268,510
,Russell,2456,891,731
,Shelby,1120,1064,1237
,St. Clair,632,332,466
,Sumter,2083,835,785
,Talladega,1470,558,936
,Tallapoosa,1055,550,388
,Tuscaloosa,2705,1832,2147
,Walker,3765,1153,2260
,Washington,2370,545,1779
,Wilcox,1361,1245,1183
,Winston,234,94,169
