Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"Democratic Primary - June 6, 2006",,,,
,,,,,
,County,Larry Darby,"John Tyson, Jr.",,
,,nominee,nominee,,
,Autauga,998,940,,
,Baldwin,705,2792,,
,Barbour,1951,1861,, 
,Bibb,826,937,,
,Blount,941,655,,
,Bullock,878,1409,,
,Butler,1322,1734,,
,Calhoun,4048,3687,,
,Chambers,1699,2117,,
,Cherokee,2284,1617,,
,Chilton,1442,1446,,
,Choctaw,1628,6428,,
,Clarke,1208,4223,,
,Clay,1206,954,,
,Cleburne,1032,773,,
,Coffee,1822,1529,,
,Colbert,2846,3032,,
,Conecuh,1069,2364,,
,Coosa,1398,1036,,
,Covington,1812,1581,,
,Crenshaw,1262,1200,,
,Cullman,3354,3611,,
,Dale,809,817,,
,Dallas,3947,4624,,
,DeKalb,3207,2915,,
,Elmore,1456,1396,,
,Escambia,778,2664,,
,Etowah,4382,4255,,
,Fayette,1954,1685,,
,Franklin,3239,2513,,
,Geneva,299,315,,
,Greene,993,2007,,
,Hale,1699,3294,,
,Henry,1539,1588,,
,Houston,2891,2935,,
,Jackson,4184,3528,,
,Jefferson,16511,28793,,
,Lamar,1806,1484,,
,Lauderdale,5137,3477,,
,Lawrence,3779,2552,,
,Lee,1917,1810,,
,Limestone,3036,2145,,
,Lowndes,1156,1420,,
,Macon,2189,2414,,
,Madison,7470,6970,,
,Marengo,1799,2779,,
,Marion,3407,2846,,
,Marshall,2535,2384,,
,Mobile,2659,18067,,
,Monroe,1187,4561,,
,Montgomery,7647,10453,,
,Morgan,2848,2360,,
,Perry,1309,2902,,
,Pickens,2282,2463,,
,Pike,824,825,,
,Randolph,1555,1328,,
,Russell,2125,1243,,
,Shelby,1993,1909,,
,St. Clair,1173,983,,
,Sumter,1359,1969,,
,Talladega,3797,3295,,
,Tallapoosa,1693,1656,,
,Tuscaloosa,4377,6778,,
,Walker,5638,6898,,
,Washington,1121,4821,,
,Wilcox,1253,2233,,
,Winston,377,309,,
,,0.43178712902747474,0.5682128709725253,,
,TOTAL,163067,214589,,
