County,Jimmy Evans (D),Jeff Sessions (R)
Autauga,3364,8754
Baldwin,9208,23846
Barbour,3322,3023
Bibb,2816,2776
Blount,4436,8034
Bullock,2257,1298
Butler,2902,4038
Calhoun,12060,13460
Chambers,5000,4091
Cherokee,2798,1760
Chilton,4555,6750
Choctaw,2566,2338
Clarke,3552,4145
Clay,2114,2233
Cleburne,1615,1414
Coffee,4603,6894
Colbert,7772,6820
Conecuh,2567,2248
Coosa,1862,1629
Covington,3290,6061
Crenshaw,1751,2398
Cullman,7905,14905
Dale,3884,6794
Dallas,8214,6306
Dekalb,6643,7305
Elmore,4573,12122
Escambia,3377,4350
Etowah,14771,15922
Fayette,2882,2717
Franklin,4183,3432
Geneva,2695,4171
Greene,3591,933
Hale,3012,1996
Henry,2704,2827
Houston,7386,14042
Jackson,4985,3807
Jefferson,91696,114570
Lamar,2580,2094
Lauderdale,10965,11896
Lawrence,4573,4002
Lee,7783,12376
Limestone,6432,8554
Lowndes,3049,1521
Macon,4734,979
Madison,29514,48132
Marengo,3879,3868
Marion,4767,4333
Marshall,7305,10193
Mobile,36437,56868
Monroe,2955,3795
Montgomery,26028,37006
Morgan,10695,21571
Perry,3130,1569
Pickens,4387,2944
Pike,3623,4992
Randolph,2386,2276
Russell,5059,3307
Shelby,8372,25981
St. Clair,5928,10786
Sumter,3160,1203
Talladega,8846,9038
Tallapoosa,4930,7271
Tuscaloosa,16895,21912
Walker,10135,8576
Washington,3436,2908
Wilcox,2803,1449
Winston,3440,5301
Calculated,505137,666910
Reported,505137,666910
