County,Roger Bedford,Jimmy Evans,Jim Sullivan
Autauga,1392,4304,1057
Baldwin,2550,2290,2121
Barbour,1016,2713,1330
Bibb,1441,1214,1084
Blount,2328,1367,1285
Bullock,772,1796,362
Butler,748,3460,818
Calhoun,5338,4322,4852
Chambers,1703,2549,1259
Cherokee,1748,1239,990
Chilton,2910,1974,1491
Choctaw,1510,2094,1141
Clarke,1476,3051,955
Clay,1248,1274,747
Cleburne,1310,1053,1215
Coffee,1306,3651,2070
Colbert,6306,1966,745
Conecuh,539,2245,867
Coosa,689,1664,528
Covington,922,3451,4156
Crenshaw,622,2953,690
Cullman,5600,3667,2170
Dale,1272,2870,1663
Dallas,2988,4059,1869
Dekalb,4237,2317,1810
Elmore,1440,4658,1147
Escambia,1810,2682,1392
Etowah,9362,4944,3206
Fayette,3645,1436,836
Franklin,5514,672,455
Geneva,1084,2429,925
Greene,2150,707,1250
Hale,1161,1440,1117
Henry,747,2135,1288
Houston,2331,5615,3765
Jackson,3482,1515,2408
Jefferson,34891,34683,18392
Lamar,3617,875,791
Lauderdale,11302,2854,1656
Lawrence,4557,1765,1006
Lee,2226,3877,1783
Limestone,4916,3909,2700
Lowndes,644,1600,385
Macon,1354,2677,517
Madison,11191,9429,9670
Marengo,1210,3116,1280
Marion,6840,1676,998
Marshall,4028,4650,1953
Mobile,16945,11144,18486
Monroe,6277,23920,4872
Montgomery,1102,3081,951
Morgan,7361,4389,4778
Perry,1009,1230,1658
Pickens,3212,1540,1687
Pike,1108,3987,1296
Randolph,956,1299,794
Russell,665,1109,528
Shelby,1970,1620,1248
St. Clair,3249,2234,1732
Sumter,2355,1292,1069
Talladega,3225,3948,2822
Tallapoosa,2291,5303,2426
Tuscaloosa,9822,5662,5584
Walker,9101,3876,2299
Washington,2200,1747,2094
Wilcox,1994,2029,819
Winston,1671,302,250
Calculated,247986,242599,151588
Reported,247986,243599,151588
